"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Bratio_1980" "Bratio_1980" 0.593634 0.186191 -2.18253 0.0145353
"Bratio_1981" "Bratio_1981" 0.714964 0.187328 -1.52159 0.0640564
"Bratio_1982" "Bratio_1982" 0.530212 0.154156 -3.04749 0.00115388
"Bratio_1983" "Bratio_1983" 0.356107 0.118638 -5.42738 2.86604e-08
"Bratio_1984" "Bratio_1984" 0.469577 0.124997 -4.24348 1.10112e-05
"Bratio_1985" "Bratio_1985" 0.477756 0.130319 -4.00743 3.07065e-05
"Bratio_1986" "Bratio_1986" 0.428354 0.131965 -4.3318 7.4002e-06
"Bratio_1987" "Bratio_1987" 0.468913 0.134399 -3.95158 3.88356e-05
"Bratio_1988" "Bratio_1988" 0.541291 0.149219 -3.07407 0.00105587
"Bratio_1989" "Bratio_1989" 0.536348 0.154353 -3.00385 0.00133302
"Bratio_1990" "Bratio_1990" 0.382026 0.123593 -5.00009 2.86968e-07
"Bratio_1991" "Bratio_1991" 0.420661 0.120918 -4.79118 8.30096e-07
"Bratio_1992" "Bratio_1992" 0.502289 0.136576 -3.6442 0.000134145
"Bratio_1993" "Bratio_1993" 0.592155 0.158686 -2.57015 0.0050828
"Bratio_1994" "Bratio_1994" 0.618609 0.167761 -2.27342 0.0115005
"Bratio_1995" "Bratio_1995" 0.50295 0.145315 -3.42049 0.000312592
"Bratio_1996" "Bratio_1996" 0.563077 0.146721 -2.97793 0.0014511
"Bratio_1997" "Bratio_1997" 0.674608 0.167149 -1.94671 0.0257845
"Bratio_1998" "Bratio_1998" 0.753132 0.18311 -1.34819 0.088798
"Bratio_1999" "Bratio_1999" 0.563705 0.153726 -2.83813 0.00226901
"Bratio_2000" "Bratio_2000" 0.486593 0.125602 -4.08757 2.18073e-05
"Bratio_2001" "Bratio_2001" 0.445929 0.113629 -4.87615 5.41627e-07
"Bratio_2002" "Bratio_2002" 0.455968 0.118019 -4.60968 2.01853e-06
"Bratio_2003" "Bratio_2003" 0.495851 0.125227 -4.02587 2.83966e-05
"Bratio_2004" "Bratio_2004" 0.382411 0.107333 -5.75398 4.37151e-09
"Bratio_2005" "Bratio_2005" 0.353532 0.0926892 -6.97458 1.54378e-12
"Bratio_2006" "Bratio_2006" 0.352411 0.0914585 -7.08069 7.22048e-13
"Bratio_2007" "Bratio_2007" 0.36048 0.0963385 -6.63826 1.59556e-11
"Bratio_2008" "Bratio_2008" 0.380434 0.0986866 -6.27812 1.72087e-10
"Bratio_2009" "Bratio_2009" 0.334277 0.0908892 -7.32455 1.20763e-13
"Bratio_2010" "Bratio_2010" 0.342049 0.088911 -7.40011 6.85761e-14
"Bratio_2011" "Bratio_2011" 0.338806 0.0875412 -7.55295 2.14565e-14
"Bratio_2012" "Bratio_2012" 0.292474 0.0794626 -8.90388 2.73477e-19
"Bratio_2013" "Bratio_2013" 0.267623 0.0732184 -10.0026 7.56608e-24
"Bratio_2014" "Bratio_2014" 0.331121 0.0823499 -8.1224 2.30991e-16
"Bratio_2015" "Bratio_2015" 0.287982 0.0797568 -8.92736 2.21273e-19
"Bratio_2016" "Bratio_2016" 0.244137 0.0740159 -10.2122 8.92837e-25
"Bratio_2017" "Bratio_2017" 0.285536 0.0795292 -8.98367 1.32857e-19
"Bratio_2018" "Bratio_2018" 0.331109 0.0939363 -7.12068 5.40674e-13
"Bratio_2019" "Bratio_2019" 0.329951 0.104263 -6.42655 6.55733e-11
"Bratio_2020" "Bratio_2020" 0.357215 0.115509 -5.5648 1.31569e-08
"Bratio_2021" "Bratio_2021" 0.417964 0.132249 -4.40107 5.39019e-06
"Bratio_2022" "Bratio_2022" 0.452666 0.154834 -3.53497 0.000203955
"Bratio_2023" "Bratio_2023" 0.531257 0.190058 -2.46631 0.0068256
"SSB_unfished" "SSB_unfished" 12215.8 498.079 NA NA
"Totbio_unfished" "Totbio_unfished" 18507.2 754.602 NA NA
"SmryBio_unfished" "SmryBio_unfished" 18507.2 754.602 NA NA
"Recr_unfished" "Recr_unfished" 172.347 7.02716 NA NA
"SSB_Btgt" "SSB_Btgt" 3664.73 149.424 NA NA
"SPR_Btgt" "SPR_Btgt" 0.34375 5.18127e-18 NA NA
"annF_Btgt" "annF_Btgt" 0.573426 0.0156487 NA NA
"Dead_Catch_Btgt" "Dead_Catch_Btgt" 2006.79 90.1706 NA NA
"SSB_SPR" "SSB_SPR" 3094.66 126.18 NA NA
"annF_SPR" "annF_SPR" 0.677611 0.0196287 NA NA
"Dead_Catch_SPR" "Dead_Catch_SPR" 2050.71 91.9742 NA NA
"SSB_MSY" "SSB_MSY" 2709.38 112.537 NA NA
"SPR_MSY" "SPR_MSY" 0.270431 0.000256039 NA NA
"annF_MSY" "annF_MSY" 0.762712 0.022387 NA NA
"Dead_Catch_MSY" "Dead_Catch_MSY" 2060.6 92.2976 NA NA
"Ret_Catch_MSY" "Ret_Catch_MSY" 2060.6 92.2976 NA NA
"B_MSY/SSB_unfished" "B_MSY/SSB_unfished" 0.221793 0.000273109 NA NA
"ForeCatch_2023" "ForeCatch_2023" 1392.71 85.1831 NA NA
"OFLCatch_2023" "OFLCatch_2023" 1392.71 85.1831 NA NA
"ln(SPB)_1952" "ln(SPB)_1952" 9.41108 0.0809411 NA NA
"ln(SPB)_1987" "ln(SPB)_1987" 7.14714 0.25582 NA NA
"ln(SPB)_2022" "ln(SPB)_2022" 7.11187 0.317451 NA NA
